gene_symbol,druggability,uniprot_url,opentargets_url
TBK1,Yes,https://www.uniprot.org/uniprotkb/Q9UHD2,https://platform.opentargets.org/target/ENSG00000183735
GSK3A,Yes,https://www.uniprot.org/uniprotkb/P49840,https://platform.opentargets.org/target/ENSG00000105723
DCLK3,Yes,https://www.uniprot.org/uniprotkb/Q9C098,https://platform.opentargets.org/target/ENSG00000163673
MAP3K7,Yes,https://www.uniprot.org/uniprotkb/O43318,https://platform.opentargets.org/target/ENSG00000135341
CYSLTR1,Yes,https://www.uniprot.org/uniprotkb/Q9Y271,https://platform.opentargets.org/target/ENSG00000173198
CHUK,Yes,https://www.uniprot.org/uniprotkb/O15111,https://platform.opentargets.org/target/ENSG00000213341
IKBKB,Yes,https://www.uniprot.org/uniprotkb/O14920,https://platform.opentargets.org/target/ENSG00000104365
CA6,Yes,https://www.uniprot.org/uniprotkb/P23280,https://platform.opentargets.org/target/ENSG00000131686
SLC6A4,Yes,https://www.uniprot.org/uniprotkb/P31645,https://platform.opentargets.org/target/ENSG00000108576
ACE2,Yes,https://www.uniprot.org/uniprotkb/Q9BYF1,https://platform.opentargets.org/target/ENSG00000130234
ADRA2A,Yes,https://www.uniprot.org/uniprotkb/P08913,https://platform.opentargets.org/target/ENSG00000150594
ADRA2B,Yes,https://www.uniprot.org/uniprotkb/P18089,https://platform.opentargets.org/target/ENSG00000274286
GLRA1,Yes,https://www.uniprot.org/uniprotkb/P23415,https://platform.opentargets.org/target/ENSG00000145888
VCP,Yes,https://www.uniprot.org/uniprotkb/P55072,https://platform.opentargets.org/target/ENSG00000165280
GABRG1,Yes,https://www.uniprot.org/uniprotkb/Q8N1C3,https://platform.opentargets.org/target/ENSG00000163285
PIK3C3,Yes,https://www.uniprot.org/uniprotkb/Q8NEB9,https://platform.opentargets.org/target/ENSG00000078142
ADRA1D,Yes,https://www.uniprot.org/uniprotkb/P25100,https://platform.opentargets.org/target/ENSG00000171873
GABRB3,Yes,https://www.uniprot.org/uniprotkb/P28472,https://platform.opentargets.org/target/ENSG00000166206
MT-ND4,Yes,https://www.uniprot.org/uniprotkb/P03905,https://platform.opentargets.org/target/ENSG00000198886
TUBB4A,Yes,https://www.uniprot.org/uniprotkb/P04350,https://platform.opentargets.org/target/ENSG00000104833
DPP9,Yes,https://www.uniprot.org/uniprotkb/Q86TI2,https://platform.opentargets.org/target/ENSG00000142002
GRIN3A,Yes,https://www.uniprot.org/uniprotkb/Q8TCU5,https://platform.opentargets.org/target/ENSG00000198785
CYP3A7,Yes,https://www.uniprot.org/uniprotkb/P24462,https://platform.opentargets.org/target/ENSG00000160870
PIK3R4,Yes,https://www.uniprot.org/uniprotkb/Q99570,https://platform.opentargets.org/target/ENSG00000196455
PDPK1,Yes,https://www.uniprot.org/uniprotkb/O15530,https://platform.opentargets.org/target/ENSG00000140992
GABRG2,Yes,https://www.uniprot.org/uniprotkb/P18507,https://platform.opentargets.org/target/ENSG00000113327
MAN1B1,Yes,https://www.uniprot.org/uniprotkb/Q9UKM7,https://platform.opentargets.org/target/ENSG00000177239
CYP24A1,Yes,https://www.uniprot.org/uniprotkb/Q07973,https://platform.opentargets.org/target/ENSG00000019186
GABRA2,Yes,https://www.uniprot.org/uniprotkb/P47869,https://platform.opentargets.org/target/ENSG00000151834
XCR1,Yes,https://www.uniprot.org/uniprotkb/P46094,https://platform.opentargets.org/target/ENSG00000173578
